d100,Word
1,Dratblitz
2,Dunderwave
3,Dogswipe
4,Dastardpunch
5,Dungbeam
6,Dullardfang
7,Devilpluck
8,Draggoneblight
9,Dungheapquake
10,Drekstrike
11,Dunderbite
12,Dungcrunch
13,Doltshot
14,Disarmingknave
15,Dunderfling
16,Duncefang
17,Drenchcurse
18,Dratburst
19,Dimwitwhip
20,Daggerfling
21,Devilblast
22,Drosspulse
23,Dratfang
24,Dungstorm
25,Draughtclaw
26,Dunghammer
27,Daggerlick
28,Dungpounce
29,Disgracebeam
30,Donkeyshock
31,Draggonekick
32,Dunderburn
33,Dullspell
34,Drekslam
35,Dratjab
36,Dirtkick
37,Doltfire
38,Drencheyes
39,Dungroll
40,Dunderclaw
41,Doomwhelp
42,Drawncurse
43,Dratbarrage
44,Dimwitwave
45,Daggerrage
46,Drossstrike
47,Dunghurl
48,Direblast
49,Dunderdoom
50,Dungtooth
51,Disgracefury
52,Devilsmack
53,Dastardvolt
54,Donkeydrain
55,Drekflare
56,Draggonetoss
57,Dullardcharge
58,Drosslick
59,Dratstorm
60,Dunglunge
61,Dunderboltcurse
62,Drekpowder
63,Dullcurse
64,Donkeyfang
65,Daggercrunch
66,Dastardfang
67,Dirtblast
68,Drenchedknave
69,Drollsmack
70,Drunkenspell
71,Dratquake
72,Dunderstrike
73,Devilbarrage
74,Drekwave
75,Dungclaw
76,Daggerkick
77,Donkeyblast
78,Doomcurse
79,Daggerbolt
80,Drosshowl
81,Dastardroar
82,Dunglick
83,Disgraceblow
84,Drekfury
85,Dunderfist
86,Dratfangstorm
87,Donkeyrage
88,Dullburst
89,Dratfling
90,Dirtstrike
91,Devilvolt
92,Daggerwhip
93,Dastardcrunch
94,Donkeysmite
95,Dreksmite
96,Dunderlash
97,Doomsmack
98,Drollfling
99,Dullardblast
100,Dungdrizzle
